"Exception.Message","Exception.InnerException.Message","Exception.Message.Provider","FullyQualifiedErrorId"
"Could not retrieve information about the Microsoft-Windows-EmbeddedAppLauncher provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-EmbeddedAppLauncher","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the NisDrvWFP Provider provider. Error: The specified resource type cannot be found in the image file..","The specified resource type cannot be found in the image file.","NisDrvWFP","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-CredentialProviders provider. Error: The specified resource type cannot be found in the image file..","The specified resource type cannot be found in the image file.","Microsoft-Windows-CredentialProviders","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-Connected-Search provider. Error: The specified resource type cannot be found in the image file..","The specified resource type cannot be found in the image file.","Microsoft-Windows-Connected-Search","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Multimedia-HEVCDECODER provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Multimedia-HEVCDECODER","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-PersistentMemory-VirtualNvdimm provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-PersistentMemory-VirtualNvdimm","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-PrintDialogs provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-PrintDialogs","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-Globalization provider. Error: The specified resource type cannot be found in the image file..","The specified resource type cannot be found in the image file.","Microsoft-Windows-Globalization","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-PrintDialogs3D provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-PrintDialogs3D","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-wmbclass provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-wmbclass","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-FailoverClustering-Manager provider. Error: The system cannot find the file specified..","The system cannot find the file specified.","Microsoft-Windows-FailoverClustering-Manager","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-ScmBus provider. Error: The data is invalid..","The data is invalid.","Microsoft-Windows-ScmBus","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
"Could not retrieve information about the Microsoft-Windows-CredProvHost provider. Error: The data is invalid..","The data is invalid.","Microsoft-Windows-CredProvHost","ProviderMetadataUnavailable,Microsoft.PowerShell.Commands.GetWinEventCommand"
